FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY,Quarter
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20192,43469,06/30/2019,Open,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,109,584,44,49,182,0,0,42,162,0,4,1067,7,2100,205,6076,682,0,0,125,407,0,20,9615,6018,55965,2077,4362,17050,0,0,7549,27216,17,2869,117105,49866607,4460528,6517259,12804586,0,0,1155382,13280868,0,277923,88363153,107220671,4889882,4262711,26765212,0,0,7703161,44326051,55882,3115383,198338953,1705958,126711007,7664478,3697176,32288288,0,0,0,5354783,34425298,0,1604419,0,0,0,4590462,218041869,0,0,0,0,0,27910249,1685932,4929583,7281510,0,0,3503759,23181621,11283,156300,68660237,494345,64506111,0,1001370,0,0,0,0,198628,99505142,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106281078,ADVENTIST HEALTH ST. HELENA,20192,43469,06/30/2019,Open,Napa,03 - North Bay,407,Non Profit Corp.,Comparable,,707-963-3611,10 WOODLAND ROAD.,ST. HELENA,94574,STEVEN HERBER,151,151,72,572,34,115,126,0,0,33,157,0,5,1042,0,3315,405,1010,587,0,0,195,634,0,7,6153,0,7559,178,201,1495,0,0,1243,3841,0,229,14746,92539691,6322359,7836425,16879176,0,0,4469869,20462873,0,1009979,149520372,61405514,2971658,1089341,12402403,0,0,3365628,25360696,0,2330692,108925932,1104632,131199232,7829481,5535038,24413302,-18332,0,0,4592139,30151460,0,3359404,0,0,0,3176022,211342378,0,7247143,0,0,7247143,21423560,1416435,2225744,11817300,0,0,2992103,13716534,0,759393,54351069,1619423,61790564,0,85486,0,0,0,0,1214889,90970863,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,20192,43469,06/30/2019,Open,Kern,09 - Central,623,District,Comparable,,661-823-3000,1100 MAGELLAN DRIVE,TEHACHAPI,93561,JEFFERY LINGERFELT,20,20,15,53,21,14,63,0,0,15,24,0,2,192,0,171,70,370,133,0,0,76,60,0,6,886,0,1646,432,793,5269,0,0,394,1657,0,178,10369,2042356,798397,721157,2084835,0,0,1273636,830024,0,101019,7851424,4293425,2610271,1321951,8170552,0,0,1650887,4925556,0,991151,23963793,705504,3493157,2643872,1686821,7158032,0,0,0,1722682,3773339,0,23608,0,0,0,1220858,22427873,0,0,0,0,0,2605534,573486,381264,2920960,0,0,1016706,1609629,0,279765,9387344,25526,10303502,0,30290,0,0,0,0,40481958,80268802,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106540816,ADVENTIST HEALTH TULARE,20192,43469,06/30/2019,Open,Tulare,09 - Central,611,District,Comparable,,559-688-0821,869 NORTH CHERRY STREET,TULARE,93274,DAN HECKATHORNE,112,103,103,80,17,11,56,0,0,3,23,0,12,202,0,326,70,37,188,0,0,13,70,0,38,742,0,1074,126,354,3569,0,0,137,994,0,672,6926,7433942,1142108,2022926,14811954,0,0,376824,5114945,0,3077218,33979917,1599042,84270,188203,1575392,0,0,36095,561179,0,70677,4114858,0,7542507,1023657,1542077,11427451,0,0,0,279333,3840621,0,2625148,0,0,0,28164,28308958,0,0,0,0,0,1490477,202721,669052,4959895,0,0,133586,1835503,0,494583,9785817,82571,11968486,0,4962,0,0,0,0,472846,14400046,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106231396,ADVENTIST HEALTH UKIAH VALLEY,20192,43469,06/30/2019,Open,Mendocino,01 - Northern California,113,Church,Comparable,Rural,707-462-3111,275 HOSPITAL DRIVE,UKIAH,95482,JASON WELLS,67,50,38,364,21,62,275,0,0,46,146,0,6,920,0,1409,82,149,862,0,0,133,447,0,9,3091,0,25673,1591,1311,19692,0,0,10937,8916,0,1446,69566,19715669,949718,2185094,11243044,0,0,1522832,6523273,0,486822,42626452,37262645,2416133,2474106,27831918,0,0,3358693,22446779,0,1128493,96918767,831538,44274092,2567734,1916463,32356522,-266586,0,0,1834185,15396095,0,1755518,0,0,0,2407588,103073149,0,11738357,0,0,11738357,12491861,688519,1992869,17991521,0,0,2870544,12537648,0,-362535,48210427,902900,49417255,0,27380,0,0,0,0,3260147,89377530,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106481015,ADVENTIST HEALTH VALLEJO,20192,43469,06/30/2019,Open,Solano,03 - North Bay,409,Non Profit Corp.,Comparable,,707-963-3611,525 OREGON STREET,VALLEJO,94590,"STEVE HERBER, MD",61,61,61,143,51,97,0,0,0,16,277,0,0,584,0,1547,414,1044,0,0,0,148,2006,0,0,5159,0,443,19,0,0,0,0,191,701,0,0,1354,5973704,1754551,3490945,0,0,0,804765,7858997,0,0,19882962,1297028,424323,0,0,0,0,424256,1779719,0,0,3925326,44111,4948737,1334155,2485836,0,0,0,0,738843,6403176,0,391936,0,0,0,52725,16399519,0,0,0,0,0,1941714,817442,954635,0,0,0,438866,3256112,0,0,7408769,8718,6760266,0,0,0,0,0,0,0,634538,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106190878,ADVENTIST HEALTH WHITE MEMORIAL,20192,43469,06/30/2019,Open,Los Angeles,11 - Los Angeles,925,Non Profit Corp.,Comparable,Teaching,323-268-5000,1720 CESAR E. CHAVEZ AVENUE,LOS ANGELES,90033,JOHN RAFFOUL,353,353,250,789,588,1053,1583,0,0,53,594,6,104,4770,0,4671,2741,5044,7127,0,0,414,2084,19,325,22425,0,6748,4967,4811,13043,0,0,1980,7037,54,792,39432,91445737,71124338,83755331,157969761,0,0,844315,44029748,344918,12215293,461729441,28722752,32233238,17381635,81250387,0,0,2191761,32074326,447378,6594359,200895836,3660252,104635975,79272623,88495190,220944405,-8117840,0,0,1185001,59368548,0,3557512,0,0,0,17297569,570299235,37136,9058151,0,0,9095287,11894849,22475456,11950797,34518049,0,0,1551137,10851723,0,8179318,101421329,3742336,114207351,0,1762970,0,0,0,0,2216081,144993920,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,20192,43469,06/30/2019,Open,Orange,13 - Orange,1012,Non Profit Other,Comparable,,714-999-5102,1111 WEST LA PALMA AVENUE,ANAHEIM,92801,VIRGIS NARBUTAS,223,223,223,511,449,264,686,0,0,26,344,0,71,2351,0,2677,2074,1139,2879,0,0,127,1159,0,482,10537,0,1955,1695,2153,4694,0,0,489,2442,0,637,14065,57836398,47356237,22254541,62310346,0,0,2903662,34386046,0,6139031,233186261,19496024,24630537,8289963,36734280,0,0,2929849,20841777,0,2619535,115541965,3394465,68957314,62723616,24689974,76890253,-1046459,0,0,4661832,44919267,0,0,0,0,0,1487009,286677271,0,7054894,0,0,7054894,8375109,9263158,6900989,29209267,0,0,1171679,10308556,0,3877091,69105849,474182,64390905,0,0,0,0,0,0,675629,6010039,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106010735,ALAMEDA HOSPITAL,20192,43469,06/30/2019,Open,Alameda,05 - East Bay,417,Non Profit Corp.,Comparable,,510-437-4800,2070 CLINTON AVENUE,ALAMEDA,94501,DELVECCHIO FINLEY,251,217,217,351,66,67,190,0,14,6,115,0,19,828,0,2168,439,13984,1149,0,35,31,1113,0,538,19457,0,3934,534,256,2893,0,156,382,2312,0,1649,12116,26179016,4153492,26340024,10975251,0,868898,465667,6489046,0,1490402,76961796,11548557,1673234,937554,9924754,0,1152805,785686,5759101,0,1203416,32985107,2021710,31239972,4630669,23851912,18744201,0,0,2021703,1046933,8649253,0,537417,0,0,0,0,92743770,0,0,0,0,0,6487601,1196057,3425666,2155804,0,0,204420,3598894,0,134691,17203133,21131,22386826,0,1064458,0,0,0,0,1064332,9677393,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,20192,43469,06/30/2019,Open,Los Angeles,11 - Los Angeles,913,Investor - Ptnr.,Comparable,,626-570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,IRIS LAI,144,144,144,346,264,38,399,0,0,5,101,0,10,1163,0,2288,1203,556,3458,0,0,14,427,0,33,7979,2365,885,706,376,2379,0,0,61,721,0,2401,7529,31338300,20542204,5519777,35423007,0,0,224725,7310150,0,622678,100980841,6962861,5534514,1830938,11735289,0,0,299089,5270679,0,2113694,33747064,1119050,33255378,24253401,7094764,42816757,-2352,0,0,271041,10080990,0,0,0,0,0,1205541,120094570,28725754,3404806,0,0,32130560,5045783,30549071,258302,7746345,0,0,252773,2499838,0,411783,46763895,219033,46157852,0,262701,0,0,0,0,420393,10118422,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,20192,43469,06/30/2019,Open,Alameda,05 - East Bay,415,Non Profit Corp.,Comparable,,510-204-4444,2450 ASHBY AVENUE,BERKELEY,94705,GERALD KOZAI,401,401,236,795,263,547,856,0,0,127,1108,46,25,3767,0,4395,1235,2275,2900,0,0,2044,4759,158,78,17844,0,8592,2427,953,4480,0,0,690,8001,804,124,26071,62610158,19477716,27640782,51213207,0,0,27967158,65186049,2174622,1056566,257326258,65693682,16437928,5785216,33795914,0,0,5186799,64737769,4575097,655570,196867975,4460995,99417107,28513605,10757374,66827007,0,0,0,25816985,53565919,0,6749719,0,0,0,0,296108711,1235218,0,0,6692444,7927662,26605604,8589556,22656103,18186764,0,0,7158749,81766095,0,1050313,166013184,743180,166107950,0,4794167,0,0,0,0,3090889,92293239,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,20192,43469,06/30/2019,Open,Alameda,05 - East Bay,417,Non Profit Corp.,Comparable,,510-655-4000,350 HAWTHORNE AVENUE,OAKLAND,94609,GERALD KOZAI,354,354,222,1493,339,170,596,0,0,87,418,40,3,3146,0,8377,1770,1110,3000,0,0,492,2056,175,9,16989,0,3361,653,513,4142,0,0,350,2466,888,105,12478,143635743,33146397,17371113,49538139,0,0,8033615,40252148,3311520,193376,295482051,44920628,11051795,4990285,29649105,0,0,2371082,38967766,4808421,518935,137278017,3010294,144491766,35399308,10263654,64047979,0,0,0,6957462,33462122,0,8119941,0,0,0,0,305752526,0,0,0,0,0,42336751,8748424,12087665,15131026,0,0,3426551,44868006,0,409119,127007542,21021661,152280756,0,5605519,0,0,0,0,6901426,514975224,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106370749,ALVARADO PARKWAY INSTITUTE BHS,20192,43469,06/30/2019,Open,San Diego,14 - San Diego/Imperial,1422,Investor - Corp.,Comparable,,619-465-4411,7050 PARKWAY DRIVE,LA MESA,91942,MEGAN MONTGOMERY-WEST,66,66,66,105,31,77,0,0,0,0,339,0,4,556,0,1873,431,881,0,0,0,0,2195,0,30,5410,0,28832,2158,0,0,0,0,0,7735,0,29,38754,4682500,1077500,2202500,0,0,0,0,5848864,0,75000,13886364,6054720,453180,0,0,0,0,0,1695620,0,6090,8209610,363320,6577294,937648,1349184,0,0,0,0,0,4671194,0,0,0,0,0,0,13898640,0,0,0,0,0,3796607,593032,853316,0,0,0,0,2873289,0,81090,8197334,0,7411917,0,0,0,0,0,0,475626,2322719,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106194010,AMERICAN RECOVERY CENTER,20192,43469,06/30/2019,Open,Los Angeles,11 - Los Angeles,917,Non Profit Corp.,Comparable,,909-865-2336,2180 VALLEY BOULEVARD,POMONA,91768,SHIRLEY SUMMERS,173,173,173,0,0,0,0,537,0,0,0,0,0,537,0,0,0,0,0,8083,0,0,0,0,0,8083,0,0,0,0,0,1818,0,0,0,0,0,1818,0,0,0,0,2178422,0,0,0,0,0,2178422,0,0,0,0,95496,0,0,0,0,0,95496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2273918,0,0,0,0,0,2273918,0,1627020,89643,0,0,0,0,0,0,2355168,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106301188,ANAHEIM GLOBAL MEDICAL CENTER,20192,43469,06/30/2019,Open,Orange,13 - Orange,1012,Investor - Corp.,Comparable,,714-835-3555,1025 SOUTH ANAHEIM BOULEVARD.,ANAHEIM,92805,PETER BARONOFF,188,188,188,173,135,460,227,0,0,73,84,0,85,1237,0,2614,997,4836,1052,0,0,807,359,0,374,11039,0,616,294,1382,2258,0,0,773,625,2,642,6592,13214854,7329664,15203408,9426186,0,0,4501801,3011524,0,2759365,55446802,3251734,1515212,2939051,8047031,0,0,2788770,3908817,16893,2620754,25088262,193413,13307040,7394163,15471065,16314322,-2871563,0,0,2913973,4407774,0,763117,0,0,0,1191010,59084314,0,0,0,0,0,3159548,1450713,5542957,1158895,0,0,4376598,2512567,16893,3232579,21450750,73501,22338594,349752,0,0,0,0,0,164310,5185789,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
106190034,ANTELOPE VALLEY HOSPITAL,20192,43469,06/30/2019,Open,Los Angeles,11 - Los Angeles,901,District,Comparable,,661-949-5000,1600 WEST AVENUE J,LANCASTER,93534,EDWARD MIRZABEGIAN,420,393,232,781,660,562,1474,0,0,1043,0,116,56,4692,0,4118,2704,2460,5667,0,0,3438,0,426,345,19158,0,4599,2861,4252,16217,0,0,6682,0,3008,618,38237,63703708,46002960,37966757,76524376,0,0,56873420,0,2564347,2077356,285712924,18994157,27502540,12778441,58244724,0,0,38639541,0,5289107,3657341,165105851,10169850,65951748,55825071,20419780,109741878,-2806649,0,0,70275084,0,0,2369901,0,0,0,827349,332774012,0,1513986,0,0,1513986,16746117,17680429,33132065,21456283,0,0,20152951,0,5483553,4907351,119558749,5094858,111874596,0,111874596,0,0,0,0,5675678,191483037,0,0,0,0,0,0,0,0,0,0,0,0,0,Qtr 2
